reviewer_name,firm_name,rating,review_text,platform,photo_url
Mitch Jackson,"Founder — Streaming.Lawyer & Legalminds.Lawyer",5,"Fantastic, Unique and Different! I had the pleasure of being a guest on this new podcast. I enjoyed every minute of the conversation. I've also been listening to earlier episodes while running and paddleboarding and I must say this approach to law, business, marketing and life is a breath of fresh air. Well done!",Dominate Law Podcast,
Dan Minutillo,Founder — Minutillo Law,5,The Dominate Law podcast is an exceptional tool to help attorneys grow their practice in a meaningful, ethical and incremental way resulting in a better served client base. It's just great.,Dominate Law Podcast,
Kelly Chang Rickert,"Founder — Law & Mediation Offices of Kelly Chang",5,"It was a breath of fresh air & therapeutic! I had an amazing time with Naren on the air. I didn't realize how therapeutic it was to just talk about my practice & share my experiences. I definitely think this is a valuable service for many attorneys.",Dominate Law Podcast,
James DeSimone,Founder — V James DeSimone Law,5,"A unique platform! Dominate Law provides a unique platform for lawyers to share key philosophies and techniques while providing an insight into what makes them good lawyers and good people. I thoroughly enjoyed doing the podcast with Naren Arulrajah.",Dominate Law Podcast,
Mary Ann Escalante,Deputy District Attorney — Los Angeles County,5,"Naren is an excellent interviewer! I had a great podcast and I highly encourage you to join the podcast and get your story out there for all the listeners — you too will be as excited about it as I am.",Dominate Law Podcast,
Gary Bennett,Founder — GAB Law Firm,5,"A powerful tool! Dominate Law is a powerful tool that allows lawyers to share wisdom and creativity in an honest and sincere manner. I have experienced great success working with Naren Arulrajah for approximately 10 years. I strongly encourage lawyers to subscribe and listen.",Dominate Law Podcast,
Ilya Elena Lerma,Law Office of Ilya E. Lerma Esq. LLC.,5,"A great experience! I wanted to say thank you to Naren for the Dominate Law podcast. It was a great experience for me. He was a terrific interviewer and I felt like I really had a chance to connect with his audience.",Dominate Law Podcast,
Marilynn Mika Spencer,Founder — Spencer Johnson McCammon LLP,5,"A wonderful surprise! Dominate Law was a wonderful surprise to me. Interesting podcast interviews of attorneys I can relate to and whose goals I understand. Newer attorneys, those changing fields, or lawyers starting out on their own can learn a lot.",Dominate Law Podcast,
Joy Bertrand,Founder — Joy Bertrand Esq. LLC,5,"Lovely, very accommodating and really professional! I had some misgivings about it at first, but it ended up being lovely and a really professional interviewer. I am really happy to have helped them with their podcast and I encourage you to do the same.",Dominate Law Podcast,
Larry Organ,Founder — California Civil Rights Law Group,5,"Really refreshing! Naren made me think about my firm and the purpose of my business in ways I hadn't really thought. He drew out ideas because of his knowledge of social science and psychology. It was really refreshing to have such an intelligent interviewer.",Dominate Law Podcast,
Dina Eisenberg,Founder — Outsource Easier,5,"A podcast for the modern solo lawyer! Law is evolving and it can be tough to know how to lead and grow your law practice. This podcast is a wealth of thoughtful information about how to take care of yourself and use the latest digital marketing to raise brand awareness.",Dominate Law Podcast,
Daniel Forouzan,"Founder — Forouzan Law & Westside Bar Association",5,"I gained insight from my own interview. Because of the long-form format and how Naren goes forward and asks you a question, it opens my mind up and allows me to speak. The Dominate Law podcast is very helpful to anyone who is looking to grow their practice.",Dominate Law Podcast,
